"annotation_id","annotator","created_at","has_damage","id","images","layer","lead_time","updated_at"
1,"1","2026-05-23T14:04:49.279978Z","",1,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1469.png","[{""x"":27.468747022895872,""y"":43.616559579130076,""width"":3.7725862963237384,""height"":4.862867970064885,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":26.039737062167166,""y"":14.607657376337716,""width"":39.51830014854647,""height"":36.836701209895075,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",95.097,"2026-05-23T14:04:49.279988Z"
2,"1","2026-05-23T14:05:45.525579Z","",2,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1470.png","[{""x"":53.12213393530511,""y"":44.18604651162791,""width"":7.956198074823942,""height"":7.896731080163967,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":21.47474346920167,""y"":16.73364982154083,""width"":48.57382451367045,""height"":58.41641527038789,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",35.062,"2026-05-23T14:05:45.525589Z"
3,"1","2026-05-23T14:06:12.349852Z","",3,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1471.png","[{""x"":24.686940966010734,""y"":3.8461538461538476,""width"":71.67561121049495,""height"":68.06797853309479,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",26.462,"2026-05-23T14:06:12.349862Z"
4,"1","2026-05-23T14:06:50.175969Z","Registraion number has defect",4,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1472.png","[{""x"":66.42814549791295,""y"":36.94096601073345,""width"":7.274895646988649,""height"":9.39177101967799,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":9.660107334525945,""y"":7.334525939177114,""width"":73.82230172927848,""height"":62.79069767441858,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",37.464,"2026-05-23T14:06:50.175979Z"
5,"1","2026-05-23T14:07:19.276565Z","",5,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1473.png","[{""x"":20.274299344066783,""y"":64.40071556350627,""width"":8.825283243887899,""height"":9.660107334525932,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":20.035778175313066,""y"":12.880143112701253,""width"":56.290995825879556,""height"":64.40071556350621,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",28.645,"2026-05-23T14:07:19.276575Z"
6,"1","2026-05-23T14:07:42.131037Z","",6,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1474.png","[{""x"":35.062611806797854,""y"":37.29874776386404,""width"":9.421586165772212,""height"":8.050089445438282,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":27.787716159809168,""y"":11.449016100178891,""width"":58.43768634466308,""height"":53.220035778175266,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",22.483,"2026-05-23T14:07:42.131059Z"
7,"1","2026-05-23T14:08:15.668199Z","Registraion number has defect",7,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1475.png","[{""x"":68.33631484794267,""y"":69.58855098389975,""width"":10.73345259391771,""height"":9.928443649373898,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":29.457364341085263,""y"":12.522361359570661,""width"":49.73166368515203,""height"":69.94633273703043,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",33.073,"2026-05-23T14:08:15.668209Z"
8,"1","2026-05-23T14:08:54.565920Z","Registraion number has defect",8,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1476.png","[{""x"":34.47832638996698,""y"":46.82907919709115,""width"":3.3392963625521617,""height"":6.569847457649374,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":26.420806385028218,""y"":23.014999311958153,""width"":45.31902206320804,""height"":51.327920737580854,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",38.418,"2026-05-23T14:08:54.565931Z"
9,"1","2026-05-23T14:09:23.614298Z","",9,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1477.png","[{""x"":19.081693500298147,""y"":12.522361359570661,""width"":66.30888491353608,""height"":65.83184257602862,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032},{""x"":19.558735837805603,""y"":66.90518783542034,""width"":5.366726296958859,""height"":9.749552772808581,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032}]",28.522,"2026-05-23T14:09:23.614309Z"
10,"1","2026-05-23T14:10:00.185876Z","Registraion number has defect",10,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1478.png","[{""x"":69.88670244484197,""y"":43.559928443649376,""width"":13.237924865831857,""height"":11.538461538461533,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":17.889087656529487,""y"":0.8050089445438282,""width"":75.37268932617762,""height"":82.55813953488371,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",36.113,"2026-05-23T14:10:00.185887Z"
11,"1","2026-05-23T14:10:46.751858Z","Registraion number has defect",11,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1479.png","[{""x"":92.3076923076923,""y"":71.28801431127012,""width"":5.4859868813357195,""height"":10.10733452593918,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":37.56708407871193,""y"":9.928443649373877,""width"":60.58437686344663,""height"":72.09302325581393,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",46.191,"2026-05-23T14:10:46.751868Z"
12,"1","2026-05-23T14:11:29.146625Z","",12,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1480.png","[{""x"":40.667859272510434,""y"":24.776386404293383,""width"":5.9630292188431495,""height"":6.08228980322003,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":34.10852713178295,""y"":0.4472271914132378,""width"":27.19141323792485,""height"":50.89445438282644,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",41.994,"2026-05-23T14:11:29.146636Z"
13,"1","2026-05-23T14:11:53.424835Z","Registraion number has defect",13,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1481.png","[{""x"":56.768038163387004,""y"":65.47406082289802,""width"":10.614192009540842,""height"":8.855098389982091,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":27.429934406678562,""y"":3.935599284436491,""width"":40.31007751937983,""height"":73.345259391771,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",23.891,"2026-05-23T14:11:53.424844Z"
14,"1","2026-05-23T14:12:29.842639Z","",14,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1482.png","[{""x"":60.703637447823475,""y"":38.729874776386396,""width"":6.678592725104358,""height"":7.960644007155635,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":13.714967203339295,""y"":13.148479427549194,""width"":64.63923673226,""height"":59.48121645796064,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",36.04,"2026-05-23T14:12:29.842649Z"
